Wavelength,green_reference,brown_reference,soil_reference
400,0.0135804650454772,0.02181905,0.04715442
401,0.0136838376029128,0.022087609,0.04842969
402,0.0138249136493447,0.022304134,0.04792629
403,0.0138140378475832,0.022570817,0.04759696
404,0.0138866465240603,0.022876506,0.04839383
405,0.0140694038272139,0.023178403,0.04954398
406,0.0141868526748831,0.023420586,0.04936691
407,0.0142822846269592,0.023767432,0.04875788
408,0.0143909551343313,0.024137901,0.04875776
409,0.0145343695682761,0.024470349,0.049304
410,0.0147159377514404,0.024849624,0.04964077
411,0.014830914919842,0.025171534,0.04987565
412,0.0149186545068074,0.025498379,0.05038086
413,0.0150555695896752,0.025911594,0.05000057
414,0.015213120669583,0.026248519,0.04977684
415,0.0153378799929582,0.026593383,0.05045106
416,0.0154328298669175,0.026987374,0.0512943
417,0.0155302614617825,0.027428578,0.05183192
418,0.0156702286645599,0.027796522,0.05193366
419,0.0158065102033991,0.028143376,0.05169434
420,0.0158974889253565,0.028562556,0.05233272
421,0.0160080350075272,0.02897964,0.05253433
422,0.016098575930991,0.029388324,0.05242154
423,0.0161600156415278,0.029776915,0.0529074
424,0.0161922700986476,0.030147909,0.05338917
425,0.0162699319346788,0.030560506,0.05362106
426,0.0163569117650933,0.030982869,0.05373957
427,0.0164346602778248,0.031394985,0.05435915
428,0.0164753420283698,0.031813533,0.05445433
429,0.0165163501997975,0.032300918,0.05452482
430,0.0165712242555348,0.032754439,0.05509559
431,0.0166331822577048,0.033124612,0.05534031
432,0.0166717492355311,0.033554077,0.05536089
433,0.0166889897984128,0.033968049,0.05553131
434,0.0166830643188574,0.034361695,0.05601971
435,0.0166553412690876,0.034756175,0.05621952
436,0.0166483253814606,0.035114404,0.05641976
437,0.0166769718921499,0.03551669,0.05681289
438,0.0167155758702835,0.035966975,0.05728789
439,0.0166909036980185,0.036367901,0.05762553
440,0.0166885038268191,0.036771525,0.05793865
441,0.0167050036719486,0.037187885,0.05822163
442,0.0167176065128801,0.037604598,0.0584727
443,0.0167210338368691,0.037974423,0.05867184
444,0.0167230763861787,0.038375532,0.05896078
445,0.0167327032722469,0.038801746,0.05924156
446,0.0167572151005316,0.039196509,0.05945404
447,0.0167694858969445,0.039606311,0.05984391
448,0.0167743619131403,0.040007102,0.06027098
449,0.0167830614265071,0.040396936,0.06034216
450,0.0168009104337191,0.040819634,0.06059536
451,0.0168165789622574,0.041224299,0.0609154
452,0.0168195550029046,0.041644969,0.06125365
453,0.0168056417881705,0.04207998,0.0615991
454,0.0168272456661669,0.042481304,0.06178202
455,0.0168571251880352,0.042919618,0.06190495
456,0.0168684668082271,0.043372637,0.06205486
457,0.0168478385511806,0.043748802,0.06237745
458,0.0168283772989288,0.044153815,0.06272501
459,0.0168180154873097,0.044566765,0.06296145
460,0.0168073013249285,0.044975037,0.06288203
461,0.0167964749586641,0.04540009,0.06305499
462,0.0167825241762824,0.045809758,0.06340951
463,0.0167446107637901,0.046211915,0.06376745
464,0.01669251696996,0.046611921,0.06400198
465,0.0167260630495573,0.047047954,0.06420465
466,0.0167214484346099,0.04749235,0.06442702
467,0.016659303729458,0.047908121,0.06451042
468,0.0166246679951816,0.048312865,0.06471293
469,0.0166106606485669,0.048741162,0.06498573
470,0.0166119628432213,0.049154941,0.06522304
471,0.0165990649749304,0.049540222,0.06544939
472,0.0165857002521439,0.049961443,0.06582494
473,0.0165632667902505,0.050369444,0.06617543
474,0.0165341392607357,0.050758975,0.06628913
475,0.0165208789511206,0.051166776,0.06648222
476,0.0165300682306478,0.051573351,0.06682374
477,0.0165120027015756,0.051987084,0.06717417
478,0.0164670619761559,0.052391935,0.06727221
479,0.0164723643685657,0.052761,0.06748548
480,0.0164686056027442,0.053165101,0.0677865
481,0.0164588134509403,0.053559505,0.06807854
482,0.0164583271019423,0.053898511,0.06842599
483,0.0164411223139829,0.054289877,0.06860669
484,0.0164345322963263,0.054691628,0.06878918
485,0.0164477377737905,0.055098343,0.0691825
486,0.0164693181097358,0.055547895,0.06942767
487,0.0164653928355415,0.055946674,0.0697759
488,0.0164526623142806,0.056329036,0.0702517
489,0.0164568551682287,0.056736321,0.07049551
490,0.0164818949212262,0.057134722,0.07079808
491,0.0164983002070085,0.05750398,0.07110863
492,0.0165121331319672,0.0578714,0.0713561
493,0.0165441705162451,0.058263799,0.07174902
494,0.016642893965,0.058636745,0.07206932
495,0.0167275761290676,0.058984619,0.07226725
496,0.0167837463564011,0.059321073,0.07258811
497,0.016893024976486,0.059710309,0.07299769
498,0.0170222544808342,0.060125289,0.07343784
499,0.0171642788400038,0.060541317,0.07377574
500,0.0173083245514194,0.060927027,0.0740212
501,0.0174892228545605,0.061319011,0.07433663
502,0.0176952713212714,0.061719938,0.07469443
503,0.017929912709831,0.062107172,0.07504093
504,0.0182097206221573,0.06246091,0.07539379
505,0.0184965660477542,0.062866275,0.07568155
506,0.0188052732444606,0.063264145,0.07596523
507,0.019158676919577,0.063639797,0.07633866
508,0.0195731414875865,0.064055477,0.07666712
509,0.0200313349160327,0.064460857,0.07701937
510,0.020539367982647,0.064846939,0.07744026
511,0.0211094871021264,0.065247245,0.07773463
512,0.0217234934621752,0.065660422,0.07804732
513,0.0224076697801282,0.066059853,0.07840103
514,0.0231733770002887,0.066453543,0.07867085
515,0.0239925817384339,0.066896458,0.07897011
516,0.024884720959591,0.06734243,0.07937471
517,0.0258486177271361,0.067787101,0.07980341
518,0.0268779357356957,0.06823882,0.0801123
519,0.0279464945701423,0.068632133,0.0804886
520,0.0290294588587133,0.069004422,0.08092932
521,0.0301251705794972,0.069394247,0.08125894
522,0.0312613377166493,0.069824522,0.08161235
523,0.0324016087889985,0.070199029,0.08193012
524,0.0335571393000894,0.070581362,0.08223642
525,0.0347318448012219,0.071021567,0.08263216
526,0.0358939534367186,0.071452789,0.08302289
527,0.037031640982101,0.071862413,0.08338683
528,0.0381443975293391,0.072259564,0.08369045
529,0.0392242745880875,0.072645755,0.08410953
530,0.040182150025364,0.073029804,0.08441885
531,0.0410877113826162,0.073442108,0.08471715
532,0.0419869671586851,0.073883349,0.08514798
533,0.0428266435969551,0.074275209,0.08555991
534,0.0435776782286884,0.074679825,0.0859447
535,0.0442676944503133,0.075098616,0.08633263
536,0.0449315138136679,0.075508261,0.08667875
537,0.045539364805515,0.075902353,0.08704096
538,0.0460813119236289,0.076286615,0.08744739
539,0.0465774104602586,0.076693802,0.08789545
540,0.0470513175598319,0.077129925,0.08828375
541,0.0474544227027151,0.077550117,0.08866546
542,0.0478362323292848,0.077959522,0.08905417
543,0.0482105137479242,0.078346556,0.08940833
